c file generated by rmnkGenerator.R with seed  0 the 03/11/2019 16:36:55 
c version 1.1
c the links are random and identical for every objective functions
p rMNK 0 2 100 2 
p links
0  0  
89  89  
27  27  
1  1  
37  37  
57  57  
2  2  
90  90  
20  20  
3  3  
89  89  
93  93  
4  4  
66  66  
62  62  
5  5  
7  7  
21  21  
6  6  
18  18  
68  68  
7  7  
39  39  
76  76  
8  8  
50  50  
71  71  
9  9  
99  99  
38  38  
10  10  
77  77  
92  92  
11  11  
22  22  
64  64  
12  12  
13  13  
27  27  
13  13  
39  39  
1  1  
14  14  
38  38  
86  86  
15  15  
34  34  
48  48  
16  16  
60  60  
49  49  
17  17  
19  19  
82  82  
18  18  
67  67  
78  78  
19  19  
10  10  
71  71  
20  20  
41  41  
81  81  
21  21  
65  65  
77  77  
22  22  
55  55  
52  52  
23  23  
79  79  
2  2  
24  24  
48  48  
72  72  
25  25  
69  69  
47  47  
26  26  
86  86  
43  43  
27  27  
24  24  
6  6  
28  28  
9  9  
31  31  
29  29  
52  52  
65  65  
30  30  
41  41  
90  90  
31  31  
29  29  
45  45  
32  32  
33  33  
64  64  
33  33  
25  25  
47  47  
34  34  
76  76  
8  8  
35  35  
87  87  
33  33  
36  36  
84  84  
33  33  
37  37  
33  33  
47  47  
38  38  
89  89  
85  85  
39  39  
38  38  
77  77  
40  40  
96  96  
43  43  
41  41  
71  71  
39  39  
42  42  
32  32  
75  75  
43  43  
20  20  
70  70  
44  44  
12  12  
24  24  
45  45  
14  14  
23  23  
46  46  
5  5  
63  63  
47  47  
87  87  
77  77  
48  48  
79  79  
44  44  
49  49  
40  40  
80  80  
50  50  
60  60  
65  65  
51  51  
34  34  
26  26  
52  52  
99  99  
63  63  
53  53  
21  21  
12  12  
54  54  
47  47  
91  91  
55  55  
60  60  
96  96  
56  56  
73  73  
34  34  
57  57  
42  42  
14  14  
58  58  
1  1  
71  71  
59  59  
10  10  
43  43  
60  60  
64  64  
98  98  
61  61  
49  49  
47  47  
62  62  
17  17  
74  74  
63  63  
44  44  
50  50  
64  64  
20  20  
22  22  
65  65  
58  58  
56  56  
66  66  
7  7  
3  3  
67  67  
63  63  
92  92  
68  68  
59  59  
54  54  
69  69  
52  52  
97  97  
70  70  
50  50  
66  66  
71  71  
59  59  
23  23  
72  72  
25  25  
71  71  
73  73  
44  44  
17  17  
74  74  
73  73  
10  10  
75  75  
86  86  
60  60  
76  76  
55  55  
32  32  
77  77  
44  44  
49  49  
78  78  
17  17  
51  51  
79  79  
7  7  
27  27  
80  80  
21  21  
27  27  
81  81  
89  89  
43  43  
82  82  
77  77  
87  87  
83  83  
40  40  
6  6  
84  84  
33  33  
70  70  
85  85  
33  33  
61  61  
86  86  
83  83  
99  99  
87  87  
38  38  
37  37  
88  88  
89  89  
63  63  
89  89  
73  73  
59  59  
90  90  
89  89  
28  28  
91  91  
18  18  
86  86  
92  92  
49  49  
85  85  
93  93  
18  18  
74  74  
94  94  
71  71  
92  92  
95  95  
54  54  
69  69  
96  96  
38  38  
9  9  
97  97  
91  91  
27  27  
98  98  
58  58  
10  10  
99  99  
83  83  
31  31  
p tables
0.7230359  0.7828513  
0.6446786  0.2186453  
0.4649684  0.2689506  
0.513851  0.5185761  
0.03542995  0.1291569  
0.6331606  0.7179353  
0.7730603  0.1001408  
0.9494076  0.9479664  
0.841632  0.3082923  
0.004718936  0.9533555  
0.3808692  0.3399792  
0.1817417  0.1654539  
0.4176731  0.5101252  
0.429356  0.5109597  
0.5658291  0.04646088  
0.2887283  0.8540015  
0.07432247  0.1314423  
0.1836993  0.6314202  
0.5878567  0.6896279  
0.4577153  0.5549006  
0.926362  0.4527201  
0.1274451  0.5783539  
0.03485236  0.1426041  
0.9346107  0.2109258  
0.5072152  0.13269  
0.8106213  0.9429571  
0.8844397  0.9329098  
0.1425891  0.6035881  
0.1216583  0.1088063  
0.02118038  0.4985145  
0.3084767  0.9346914  
0.9658294  0.3171447  
0.3123638  0.7875405  
0.7561242  0.1650276  
0.5788939  0.7547056  
0.4044079  0.1695768  
0.4719565  0.1090293  
0.2135552  0.1693109  
0.743888  0.1922095  
0.7509445  0.1812318  
0.4270779  0.770737  
0.190051  0.5273108  
0.6525562  0.3730634  
0.7482358  0.1386282  
0.8437843  0.1548316  
0.7736227  0.2213059  
0.6116235  0.1314165  
0.8781529  0.3270137  
0.2447121  0.6814425  
0.9801346  0.1189026  
0.5612639  0.9292539  
0.9257562  0.09485785  
0.1119637  0.4615518  
0.6953844  0.9910992  
0.1295462  0.8134352  
0.662627  0.4004497  
0.584235  0.1933099  
0.8462924  0.719914  
0.9989732  0.4950016  
0.04986712  0.3538842  
0.9209092  0.6247142  
0.005156744  0.3124897  
0.3723659  0.9960774  
0.714146  0.9535484  
0.2423077  0.7821821  
0.189236  0.7621515  
0.5900816  0.2936055  
0.4457918  0.8121315  
0.03263471  0.3636968  
0.9200476  0.1567141  
0.5195735  0.9701622  
0.2135527  0.176452  
0.9213225  0.3843039  
0.9632672  0.2692938  
0.08780482  0.1718001  
0.7726996  0.7254053  
0.8502375  0.06380247  
0.5144274  0.4183216  
0.7103305  0.282884  
0.7118737  0.08223923  
0.9221777  0.4719307  
0.8180503  0.333278  
0.1983212  0.2768498  
0.3087266  0.8367323  
0.7382064  0.7027787  
0.0078567  0.4639624  
0.06931553  0.5621768  
0.770041  0.2304664  
0.5389406  0.4202159  
0.9993947  0.8648075  
0.1692676  0.4933187  
0.2879668  0.5642638  
0.6906525  0.9785541  
0.5769044  0.2408116  
0.4656001  0.8316717  
0.154456  0.963312  
0.8339563  0.1436269  
0.1431322  0.5070356  
0.2249718  0.3483021  
0.7590507  0.3117724  
0.612887  0.1478457  
0.03280295  0.18507  
0.5622847  0.8978485  
0.9177056  0.7236908  
0.9296385  0.7810175  
0.5277117  0.9403087  
0.4054592  0.3574058  
0.4011313  0.792909  
0.6042734  0.475825  
0.9758886  0.3080524  
0.6736001  0.8227933  
0.177102  0.5147327  
0.9898288  0.1431666  
0.2696296  0.4057636  
0.9296434  0.9325719  
0.5866941  0.8794333  
0.9197536  0.07246063  
0.205929  0.5378649  
0.7233178  0.8016877  
0.3365239  0.05214902  
0.7881887  0.9205178  
0.8816353  0.2939918  
0.9344218  0.6097489  
0.8761478  0.4230986  
0.6386509  0.9425053  
0.08295727  0.07003269  
0.2844542  0.4425101  
0.7384243  0.1411851  
0.4052409  0.6578281  
0.8415321  0.9871018  
0.7308173  0.06494992  
0.4373347  0.4753979  
0.003636694  0.4414591  
0.4092528  0.9384137  
0.4600711  0.1630855  
0.9893469  0.6902567  
0.1198184  0.9551467  
0.1059479  0.3971479  
0.9477316  0.2401163  
0.5010596  0.4359764  
0.798778  0.6919277  
0.4526958  0.1554012  
0.691817  0.9468178  
0.1526003  0.5022508  
0.4137893  0.001836858  
0.4659007  0.1341113  
0.3490935  0.9391367  
0.9654417  0.1643266  
0.8799126  0.4595754  
0.08587434  0.5170098  
0.424424  0.05516429  
0.3419514  0.6882752  
