c file generated by rmnkGenerator.R with seed  0 the 02/25/2019 11:56:28 
c version 1.1
c the links are random and identical for every objective functions
p rMNK 0.7 2 100 2 
p links
0  0  
89  89  
27  27  
1  1  
37  37  
57  57  
2  2  
90  90  
20  20  
3  3  
89  89  
93  93  
4  4  
66  66  
62  62  
5  5  
7  7  
21  21  
6  6  
18  18  
68  68  
7  7  
39  39  
76  76  
8  8  
50  50  
71  71  
9  9  
99  99  
38  38  
10  10  
77  77  
92  92  
11  11  
22  22  
64  64  
12  12  
13  13  
27  27  
13  13  
39  39  
1  1  
14  14  
38  38  
86  86  
15  15  
34  34  
48  48  
16  16  
60  60  
49  49  
17  17  
19  19  
82  82  
18  18  
67  67  
78  78  
19  19  
10  10  
71  71  
20  20  
41  41  
81  81  
21  21  
65  65  
77  77  
22  22  
55  55  
52  52  
23  23  
79  79  
2  2  
24  24  
48  48  
72  72  
25  25  
69  69  
47  47  
26  26  
86  86  
43  43  
27  27  
24  24  
6  6  
28  28  
9  9  
31  31  
29  29  
52  52  
65  65  
30  30  
41  41  
90  90  
31  31  
29  29  
45  45  
32  32  
33  33  
64  64  
33  33  
25  25  
47  47  
34  34  
76  76  
8  8  
35  35  
87  87  
33  33  
36  36  
84  84  
33  33  
37  37  
33  33  
47  47  
38  38  
89  89  
85  85  
39  39  
38  38  
77  77  
40  40  
96  96  
43  43  
41  41  
71  71  
39  39  
42  42  
32  32  
75  75  
43  43  
20  20  
70  70  
44  44  
12  12  
24  24  
45  45  
14  14  
23  23  
46  46  
5  5  
63  63  
47  47  
87  87  
77  77  
48  48  
79  79  
44  44  
49  49  
40  40  
80  80  
50  50  
60  60  
65  65  
51  51  
34  34  
26  26  
52  52  
99  99  
63  63  
53  53  
21  21  
12  12  
54  54  
47  47  
91  91  
55  55  
60  60  
96  96  
56  56  
73  73  
34  34  
57  57  
42  42  
14  14  
58  58  
1  1  
71  71  
59  59  
10  10  
43  43  
60  60  
64  64  
98  98  
61  61  
49  49  
47  47  
62  62  
17  17  
74  74  
63  63  
44  44  
50  50  
64  64  
20  20  
22  22  
65  65  
58  58  
56  56  
66  66  
7  7  
3  3  
67  67  
63  63  
92  92  
68  68  
59  59  
54  54  
69  69  
52  52  
97  97  
70  70  
50  50  
66  66  
71  71  
59  59  
23  23  
72  72  
25  25  
71  71  
73  73  
44  44  
17  17  
74  74  
73  73  
10  10  
75  75  
86  86  
60  60  
76  76  
55  55  
32  32  
77  77  
44  44  
49  49  
78  78  
17  17  
51  51  
79  79  
7  7  
27  27  
80  80  
21  21  
27  27  
81  81  
89  89  
43  43  
82  82  
77  77  
87  87  
83  83  
40  40  
6  6  
84  84  
33  33  
70  70  
85  85  
33  33  
61  61  
86  86  
83  83  
99  99  
87  87  
38  38  
37  37  
88  88  
89  89  
63  63  
89  89  
73  73  
59  59  
90  90  
89  89  
28  28  
91  91  
18  18  
86  86  
92  92  
49  49  
85  85  
93  93  
18  18  
74  74  
94  94  
71  71  
92  92  
95  95  
54  54  
69  69  
96  96  
38  38  
9  9  
97  97  
91  91  
27  27  
98  98  
58  58  
10  10  
99  99  
83  83  
31  31  
p tables
0.8282132  0.6920354  
0.2809406  0.1950906  
0.2729907  0.2954218  
0.5224186  0.5120011  
0.04207548  0.3566342  
0.746131  0.6577296  
0.1828054  0.07099024  
0.9831155  0.8130182  
0.4652965  0.2002655  
0.7183739  0.9943261  
0.3098421  0.3943165  
0.10697  0.2881466  
0.4781865  0.5405181  
0.4834333  0.5368294  
0.06755199  0.05271909  
0.7783463  0.8821772  
0.05695627  0.3107497  
0.4887219  0.7422056  
0.7060838  0.6461171  
0.5350375  0.5666562  
0.6683428  0.2560862  
0.4030996  0.7296099  
0.0471893  0.3792281  
0.4303444  0.09462062  
0.1526637  0.1494746  
0.9636872  0.8713247  
0.9669953  0.8256316  
0.4368813  0.7407156  
0.05689898  0.2409749  
0.2214204  0.7765238  
0.8873014  0.943944  
0.596868  0.1299347  
0.7106087  0.8220865  
0.2606779  0.1223065  
0.7622649  0.7135464  
0.1643776  0.2134492  
0.121478  0.1324944  
0.1179273  0.2783758  
0.2880152  0.146289  
0.2780073  0.1359525  
0.7315806  0.7751625  
0.3947953  0.6531326  
0.4394607  0.3272349  
0.2251627  0.1041277  
0.2873696  0.09318514  
0.3340433  0.160133  
0.1760076  0.1262885  
0.5093797  0.1965625  
0.5702141  0.7571583  
0.3745809  0.03090468  
0.9222235  0.9039077  
0.2510355  0.03930753  
0.2921498  0.6436596  
0.991527  0.9774182  
0.6555817  0.8943253  
0.4698232  0.3476873  
0.2351314  0.1888406  
0.8222232  0.5618413  
0.8746002  0.1206736  
0.1668205  0.6072713  
0.7954879  0.4064907  
0.07806121  0.6958478  
0.9903752  0.9951414  
0.9616015  0.9105116  
0.6769714  0.8377601  
0.6290565  0.8394629  
0.3382453  0.2780368  
0.7791607  0.8083829  
0.1546444  0.6446002  
0.3427247  0.07175428  
0.9610671  0.9578498  
0.1231167  0.2871254  
0.6024086  0.2104902  
0.5413684  0.1068672  
0.0826961  0.3565359  
0.7985222  0.607775  
0.153588  0.03576986  
0.4295903  0.4189254  
0.3731774  0.2294381  
0.1405974  0.06702932  
0.6805064  0.2743877  
0.4770735  0.2293759  
0.1927836  0.4091674  
0.7645507  0.8636693  
0.7683144  0.599954  
0.1603896  0.7953841  
0.3400451  0.7587574  
0.3427399  0.1682222  
0.4404825  0.4116386  
0.9874262  0.4219778  
0.3535705  0.6348268  
0.4758366  0.6407238  
0.9804536  0.9543519  
0.2813091  0.2342376  
0.8044613  0.8219046  
0.8990085  0.9794133  
0.2673294  0.08835595  
0.3501293  0.661899  
0.2592784  0.4693458  
0.4246212  0.2359443  
0.1946509  0.1407866  
0.0638536  0.4453414  
0.891596  0.8680172  
0.8584141  0.5108275  
0.8984909  0.565222  
0.9290887  0.9217164  
0.3341166  0.4018731  
0.7461045  0.8025508  
0.5172833  0.4381385  
0.6098411  0.1135351  
0.8478572  0.7544856  
0.3765918  0.6490988  
0.4543351  0.0313782  
0.3256441  0.5040382  
0.9737919  0.7969835  
0.8786814  0.8422013  
0.2054313  0.03014267  
0.4126366  0.6542807  
0.8433718  0.7130371  
0.04808145  0.08912872  
0.9458781  0.8422814  
0.4774141  0.171764  
0.7956788  0.3783072  
0.6007604  0.2693632  
0.9445127  0.9077018  
0.02948153  0.1988694  
0.3637839  0.5320441  
0.2249189  0.1081794  
0.6127165  0.6797151  
0.992697  0.9543652  
0.1206796  0.05105486  
0.4536159  0.5008735  
0.1257809  0.8088528  
0.9101857  0.9350651  
0.1717172  0.1916202  
0.9076793  0.3422031  
0.870689  0.9780334  
0.2384246  0.5902719  
0.4827962  0.1029495  
0.4410415  0.4402527  
0.7821756  0.5593688  
0.162618  0.1855816  
0.9539659  0.9044766  
0.351731  0.6521405  
0.002774502  0.004535519  
0.1450336  0.1602183  
0.9011025  0.9429151  
0.4125627  0.05602198  
0.636076  0.2959545  
0.3174667  0.7101503  
0.06044415  0.07962426  
