c file generated by rmnkGenerator.R with seed  0 the 02/26/2019 11:24:02 
c version 1.1
c the links are random and identical for every objective functions
p rMNK 0 2 100 6 
p links
0  0  
89  89  
27  27  
37  37  
55  55  
87  87  
19  19  
1  1  
89  89  
93  93  
65  65  
61  61  
6  6  
20  20  
2  2  
18  18  
68  68  
38  38  
74  74  
48  48  
98  98  
3  3  
99  99  
38  38  
76  76  
90  90  
21  21  
62  62  
4  4  
13  13  
27  27  
38  38  
1  1  
37  37  
82  82  
5  5  
34  34  
48  48  
59  59  
98  98  
18  18  
78  78  
6  6  
67  67  
78  78  
11  11  
70  70  
40  40  
98  98  
7  7  
65  65  
77  77  
54  54  
51  51  
75  75  
2  2  
8  8  
48  48  
72  72  
68  68  
46  46  
82  82  
42  42  
9  9  
25  25  
6  6  
10  10  
31  31  
50  50  
63  63  
10  10  
41  41  
90  90  
29  29  
45  45  
32  32  
62  62  
11  11  
26  26  
47  47  
75  75  
8  8  
84  84  
32  32  
12  12  
84  84  
34  34  
33  33  
46  46  
85  85  
82  82  
13  13  
39  39  
77  77  
94  94  
42  42  
68  68  
38  38  
14  14  
33  33  
75  75  
20  20  
69  69  
11  11  
24  24  
15  15  
14  14  
24  24  
5  5  
62  62  
84  84  
74  74  
16  16  
79  79  
45  45  
40  40  
78  78  
58  58  
62  62  
17  17  
35  35  
27  27  
97  97  
61  61  
21  21  
12  12  
18  18  
48  48  
91  91  
59  59  
94  94  
70  70  
34  34  
19  19  
43  43  
14  14  
1  1  
69  69  
9  9  
42  42  
20  20  
64  64  
98  98  
49  49  
47  47  
16  16  
71  71  
21  21  
45  45  
51  51  
20  20  
22  22  
57  57  
55  55  
22  22  
7  7  
3  3  
63  63  
90  90  
57  57  
53  53  
23  23  
53  53  
97  97  
50  50  
66  66  
58  58  
22  22  
24  24  
26  26  
72  72  
44  44  
16  16  
71  71  
9  9  
25  25  
86  86  
61  61  
55  55  
32  32  
44  44  
48  48  
26  26  
17  17  
52  52  
7  7  
27  27  
20  20  
96  96  
27  27  
89  89  
44  44  
76  76  
85  85  
40  40  
5  5  
28  28  
34  34  
71  71  
33  33  
61  61  
80  80  
81  81  
29  29  
39  39  
38  38  
87  87  
62  62  
71  71  
57  57  
30  30  
90  90  
28  28  
18  18  
86  86  
48  48  
83  83  
31  31  
18  18  
75  75  
71  71  
91  91  
53  53  
67  67  
32  32  
39  39  
9  9  
90  90  
27  27  
57  57  
10  10  
33  33  
84  84  
31  31  
76  76  
25  25  
20  20  
49  49  
34  34  
26  26  
17  17  
51  51  
55  55  
12  12  
24  24  
35  35  
72  72  
95  95  
9  9  
74  74  
91  91  
77  77  
36  36  
30  30  
64  64  
93  93  
92  92  
32  32  
24  24  
37  37  
16  16  
31  31  
50  50  
89  89  
49  49  
28  28  
38  38  
4  4  
41  41  
83  83  
33  33  
12  12  
35  35  
39  39  
63  63  
38  38  
67  67  
97  97  
53  53  
41  41  
40  40  
45  45  
30  30  
57  57  
88  88  
13  13  
39  39  
41  41  
20  20  
43  43  
12  12  
45  45  
90  90  
72  72  
42  42  
93  93  
47  47  
59  59  
98  98  
10  10  
23  23  
43  43  
50  50  
36  36  
91  91  
51  51  
30  30  
26  26  
44  44  
78  78  
69  69  
16  16  
6  6  
72  72  
59  59  
45  45  
16  16  
6  6  
10  10  
36  36  
99  99  
28  28  
46  46  
19  19  
25  25  
17  17  
45  45  
74  74  
2  2  
47  47  
53  53  
87  87  
36  36  
4  4  
13  13  
30  30  
48  48  
15  15  
12  12  
21  21  
97  97  
98  98  
93  93  
49  49  
32  32  
50  50  
67  67  
9  9  
11  11  
4  4  
50  50  
92  92  
67  67  
9  9  
47  47  
43  43  
35  35  
51  51  
99  99  
17  17  
79  79  
6  6  
38  38  
13  13  
52  52  
19  19  
83  83  
70  70  
25  25  
47  47  
7  7  
53  53  
35  35  
95  95  
61  61  
64  64  
29  29  
38  38  
54  54  
99  99  
84  84  
93  93  
78  78  
75  75  
25  25  
55  55  
76  76  
97  97  
28  28  
38  38  
78  78  
7  7  
56  56  
36  36  
43  43  
15  15  
55  55  
93  93  
94  94  
57  57  
17  17  
53  53  
37  37  
65  65  
25  25  
44  44  
58  58  
17  17  
36  36  
71  71  
46  46  
6  6  
74  74  
59  59  
41  41  
97  97  
27  27  
82  82  
7  7  
84  84  
60  60  
46  46  
10  10  
32  32  
81  81  
26  26  
55  55  
61  61  
83  83  
6  6  
69  69  
68  68  
44  44  
41  41  
62  62  
55  55  
91  91  
22  22  
21  21  
39  39  
31  31  
63  63  
86  86  
17  17  
47  47  
41  41  
53  53  
61  61  
64  64  
97  97  
22  22  
23  23  
77  77  
80  80  
10  10  
65  65  
96  96  
14  14  
13  13  
89  89  
48  48  
98  98  
66  66  
34  34  
64  64  
30  30  
33  33  
14  14  
61  61  
67  67  
18  18  
94  94  
88  88  
91  91  
69  69  
34  34  
68  68  
78  78  
1  1  
92  92  
96  96  
33  33  
71  71  
69  69  
79  79  
70  70  
46  46  
47  47  
29  29  
65  65  
70  70  
82  82  
42  42  
49  49  
63  63  
13  13  
32  32  
71  71  
40  40  
8  8  
91  91  
81  81  
84  84  
88  88  
72  72  
7  7  
37  37  
52  52  
10  10  
77  77  
69  69  
73  73  
5  5  
47  47  
90  90  
3  3  
27  27  
98  98  
74  74  
60  60  
25  25  
41  41  
35  35  
90  90  
11  11  
75  75  
6  6  
95  95  
42  42  
35  35  
13  13  
5  5  
76  76  
65  65  
56  56  
96  96  
57  57  
6  6  
15  15  
77  77  
47  47  
0  0  
42  42  
25  25  
90  90  
67  67  
78  78  
16  16  
46  46  
66  66  
44  44  
91  91  
97  97  
79  79  
39  39  
11  11  
23  23  
83  83  
41  41  
46  46  
80  80  
68  68  
74  74  
15  15  
82  82  
90  90  
55  55  
81  81  
49  49  
18  18  
0  0  
85  85  
12  12  
2  2  
82  82  
93  93  
28  28  
15  15  
38  38  
43  43  
40  40  
83  83  
51  51  
82  82  
5  5  
53  53  
65  65  
61  61  
84  84  
65  65  
46  46  
95  95  
38  38  
80  80  
71  71  
85  85  
52  52  
86  86  
45  45  
0  0  
69  69  
67  67  
86  86  
18  18  
63  63  
52  52  
32  32  
60  60  
77  77  
87  87  
70  70  
34  34  
12  12  
37  37  
89  89  
75  75  
88  88  
75  75  
94  94  
97  97  
58  58  
2  2  
31  31  
89  89  
27  27  
11  11  
4  4  
35  35  
32  32  
16  16  
90  90  
61  61  
38  38  
93  93  
62  62  
31  31  
18  18  
91  91  
11  11  
98  98  
36  36  
53  53  
69  69  
81  81  
92  92  
56  56  
1  1  
87  87  
73  73  
36  36  
8  8  
93  93  
4  4  
80  80  
98  98  
62  62  
12  12  
32  32  
94  94  
72  72  
88  88  
67  67  
23  23  
61  61  
26  26  
95  95  
94  94  
15  15  
40  40  
24  24  
8  8  
77  77  
96  96  
52  52  
65  65  
39  39  
80  80  
70  70  
32  32  
97  97  
93  93  
63  63  
3  3  
57  57  
39  39  
7  7  
98  98  
52  52  
94  94  
68  68  
53  53  
