c file generated by rmnkGenerator.R with seed  0 the 01/21/2019 11:17:47 
c version 1.1
c the links are random and identical for every objective functions
p rMNK -0.7 2 100 2 
p links
0  0  
89  89  
27  27  
1  1  
37  37  
57  57  
2  2  
90  90  
20  20  
3  3  
89  89  
93  93  
4  4  
66  66  
62  62  
5  5  
7  7  
21  21  
6  6  
18  18  
68  68  
7  7  
39  39  
76  76  
8  8  
50  50  
71  71  
9  9  
99  99  
38  38  
10  10  
77  77  
92  92  
11  11  
22  22  
64  64  
12  12  
13  13  
27  27  
13  13  
39  39  
1  1  
14  14  
38  38  
86  86  
15  15  
34  34  
48  48  
16  16  
60  60  
49  49  
17  17  
19  19  
82  82  
18  18  
67  67  
78  78  
19  19  
10  10  
71  71  
20  20  
41  41  
81  81  
21  21  
65  65  
77  77  
22  22  
55  55  
52  52  
23  23  
79  79  
2  2  
24  24  
48  48  
72  72  
25  25  
69  69  
47  47  
26  26  
86  86  
43  43  
27  27  
24  24  
6  6  
28  28  
9  9  
31  31  
29  29  
52  52  
65  65  
30  30  
41  41  
90  90  
31  31  
29  29  
45  45  
32  32  
33  33  
64  64  
33  33  
25  25  
47  47  
34  34  
76  76  
8  8  
35  35  
87  87  
33  33  
36  36  
84  84  
33  33  
37  37  
33  33  
47  47  
38  38  
89  89  
85  85  
39  39  
38  38  
77  77  
40  40  
96  96  
43  43  
41  41  
71  71  
39  39  
42  42  
32  32  
75  75  
43  43  
20  20  
70  70  
44  44  
12  12  
24  24  
45  45  
14  14  
23  23  
46  46  
5  5  
63  63  
47  47  
87  87  
77  77  
48  48  
79  79  
44  44  
49  49  
40  40  
80  80  
50  50  
60  60  
65  65  
51  51  
34  34  
26  26  
52  52  
99  99  
63  63  
53  53  
21  21  
12  12  
54  54  
47  47  
91  91  
55  55  
60  60  
96  96  
56  56  
73  73  
34  34  
57  57  
42  42  
14  14  
58  58  
1  1  
71  71  
59  59  
10  10  
43  43  
60  60  
64  64  
98  98  
61  61  
49  49  
47  47  
62  62  
17  17  
74  74  
63  63  
44  44  
50  50  
64  64  
20  20  
22  22  
65  65  
58  58  
56  56  
66  66  
7  7  
3  3  
67  67  
63  63  
92  92  
68  68  
59  59  
54  54  
69  69  
52  52  
97  97  
70  70  
50  50  
66  66  
71  71  
59  59  
23  23  
72  72  
25  25  
71  71  
73  73  
44  44  
17  17  
74  74  
73  73  
10  10  
75  75  
86  86  
60  60  
76  76  
55  55  
32  32  
77  77  
44  44  
49  49  
78  78  
17  17  
51  51  
79  79  
7  7  
27  27  
80  80  
21  21  
27  27  
81  81  
89  89  
43  43  
82  82  
77  77  
87  87  
83  83  
40  40  
6  6  
84  84  
33  33  
70  70  
85  85  
33  33  
61  61  
86  86  
83  83  
99  99  
87  87  
38  38  
37  37  
88  88  
89  89  
63  63  
89  89  
73  73  
59  59  
90  90  
89  89  
28  28  
91  91  
18  18  
86  86  
92  92  
49  49  
85  85  
93  93  
18  18  
74  74  
94  94  
71  71  
92  92  
95  95  
54  54  
69  69  
96  96  
38  38  
9  9  
97  97  
91  91  
27  27  
98  98  
58  58  
10  10  
99  99  
83  83  
31  31  
p tables
0.3079646  0.8282132  
0.8049094  0.2809406  
0.7045782  0.2729907  
0.4879989  0.5224186  
0.6433658  0.04207548  
0.3422704  0.746131  
0.9290098  0.1828054  
0.1869818  0.9831155  
0.7997345  0.4652965  
0.005673855  0.7183739  
0.6056835  0.3098421  
0.7118534  0.10697  
0.4594819  0.4781865  
0.4631706  0.4834333  
0.9472809  0.06755199  
0.1178228  0.7783463  
0.6892503  0.05695627  
0.2577944  0.4887219  
0.3538829  0.7060838  
0.4333438  0.5350375  
0.7439138  0.6683428  
0.2703901  0.4030996  
0.6207719  0.0471893  
0.9053794  0.4303444  
0.8505254  0.1526637  
0.1286753  0.9636872  
0.1743684  0.9669953  
0.2592844  0.4368813  
0.7590251  0.05689898  
0.2234762  0.2214204  
0.05605599  0.8873014  
0.8700653  0.596868  
0.1779135  0.7106087  
0.8776935  0.2606779  
0.2864536  0.7622649  
0.7865508  0.1643776  
0.8675056  0.121478  
0.7216242  0.1179273  
0.853711  0.2880152  
0.8640475  0.2780073  
0.2248375  0.7315806  
0.3468674  0.3947953  
0.6727651  0.4394607  
0.8958723  0.2251627  
0.9068149  0.2873696  
0.839867  0.3340433  
0.8737115  0.1760076  
0.8034375  0.5093797  
0.2428417  0.5702141  
0.9690953  0.3745809  
0.09609228  0.9222235  
0.9606925  0.2510355  
0.3563404  0.2921498  
0.02258181  0.991527  
0.1056747  0.6555817  
0.6523127  0.4698232  
0.8111594  0.2351314  
0.4381587  0.8222232  
0.8793264  0.8746002  
0.3927287  0.1668205  
0.5935093  0.7954879  
0.3041522  0.07806121  
0.00485863  0.9903752  
0.08948843  0.9616015  
0.1622399  0.6769714  
0.1605371  0.6290565  
0.7219632  0.3382453  
0.1916171  0.7791607  
0.3553998  0.1546444  
0.9282457  0.3427247  
0.04215016  0.9610671  
0.7128746  0.1231167  
0.7895098  0.6024086  
0.8931328  0.5413684  
0.6434641  0.0826961  
0.392225  0.7985222  
0.9642301  0.153588  
0.5810746  0.4295903  
0.7705619  0.3731774  
0.9329707  0.1405974  
0.7256123  0.6805064  
0.7706241  0.4770735  
0.5908326  0.1927836  
0.1363307  0.7645507  
0.400046  0.7683144  
0.2046159  0.1603896  
0.2412426  0.3400451  
0.8317778  0.3427399  
0.5883614  0.4404825  
0.5780222  0.9874262  
0.3651732  0.3535705  
0.3592762  0.4758366  
0.04564814  0.9804536  
0.7657624  0.2813091  
0.1780954  0.8044613  
0.02058666  0.8990085  
0.9116441  0.2673294  
0.338101  0.3501293  
0.5306542  0.2592784  
0.7640557  0.4246212  
0.8592134  0.1946509  
0.5546586  0.0638536  
0.1319828  0.891596  
0.4891725  0.8584141  
0.434778  0.8984909  
0.07828357  0.9290887  
0.5981269  0.3341166  
0.1974492  0.7461045  
0.5618615  0.5172833  
0.8864649  0.6098411  
0.2455144  0.8478572  
0.3509012  0.3765918  
0.9686218  0.4543351  
0.4959618  0.3256441  
0.2030165  0.9737919  
0.1577987  0.8786814  
0.9698573  0.2054313  
0.3457193  0.4126366  
0.2869629  0.8433718  
0.9108713  0.04808145  
0.1577186  0.9458781  
0.828236  0.4774141  
0.6216928  0.7956788  
0.7306368  0.6007604  
0.09229816  0.9445127  
0.8011306  0.02948153  
0.4679559  0.3637839  
0.8918206  0.2249189  
0.3202849  0.6127165  
0.04563479  0.992697  
0.9489451  0.1206796  
0.4991265  0.4536159  
0.1911472  0.1257809  
0.06493493  0.9101857  
0.8083798  0.1717172  
0.6577969  0.9076793  
0.02196661  0.870689  
0.4097281  0.2384246  
0.8970505  0.4827962  
0.5597473  0.4410415  
0.4406312  0.7821756  
0.8144184  0.162618  
0.09552338  0.9539659  
0.3478595  0.351731  
0.9954645  0.002774502  
0.8397817  0.1450336  
0.0570849  0.9011025  
0.943978  0.4125627  
0.7040455  0.636076  
0.2898497  0.3174667  
0.9203757  0.06044415  
