c file generated by rmnkGenerator.R with seed  0 the 01/28/2020 10:16:35 
c version 1.1
c the links are random and identical for every objective functions
p rMNK 0 2 25 0 
p links
0  0  
1  1  
2  2  
3  3  
4  4  
5  5  
6  6  
7  7  
8  8  
9  9  
10  10  
11  11  
12  12  
13  13  
14  14  
15  15  
16  16  
17  17  
18  18  
19  19  
20  20  
21  21  
22  22  
23  23  
24  24  
p tables
0.3950667  0.8966972  
0.6468027  0.3721239  
0.007315936  0.9082078  
0.7867919  0.8983897  
0.521882  0.6607978  
0.401239  0.06178627  
0.2682075  0.1765568  
0.5685263  0.3841037  
0.9869224  0.4976992  
0.8968158  0.9919061  
0.359899  0.7774452  
0.5044064  0.2121425  
0.8265577  0.1255551  
0.5461045  0.3861141  
0.7924549  0.382388  
0.404288  0.340349  
0.9229356  0.5995658  
0.3572045  0.1862176  
0.4019076  0.6684667  
0.4739723  0.1079436  
0.4923582  0.4112744  
0.3984588  0.6470602  
0.7418341  0.5530363  
0.5474292  0.7893562  
0.2533017  0.4772301  
0.1354551  0.6927316  
0.4428405  0.8612095  
0.5468686  0.2447973  
0.8191336  0.09946616  
0.9247243  0.5186343  
0.7873005  0.4068302  
0.1049059  0.2936034  
0.2200151  0.3323947  
0.5868758  0.2580168  
0.6645125  0.7663107  
0.6623847  0.8753213  
0.1593854  0.8394403  
0.6086407  0.3337749  
0.1045546  0.8921983  
0.2589214  0.3899895  
0.09691839  0.960618  
0.8087399  0.7125147  
0.4966605  0.3253522  
0.8108064  0.2026923  
0.2755011  0.1216919  
0.4523534  0.1433044  
0.6110949  0.05893438  
0.07269791  0.8762692  
0.4094268  0.7973088  
0.159493  0.4100841  
